Trace started at 2026-09-03:19:09:56.130
19:10:02.835 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00 (....&......&.)
19:10:02.835 Read COM16: 00-00-01-FD (....)
19:10:02.929 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:02.932 Read COM16: FE-FE-88 (...)
19:10:02.947 Read COM16: 00-0F-FD-FE-FE-00-88-0F-00-FD (..........)
19:10:02.947 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:02.964 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:02.964 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:02.980 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00 (....!......!.)
19:10:02.980 Read COM16: 00-00-00-FD (....)
19:10:03.062 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:03.076 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00 (....%......%...'..)
19:10:03.092 Read COM16: FD (.)
19:10:03.092 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:03.108 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:03.195 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:03.203 Read COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:03.219 Read COM16: FE-FE-00-88-25-00-00-96-04-07-00-FD (....%.......)
19:10:03.219 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:03.235 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:03.328 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:03.331 Read COM16: FE-FE-88 (...)
19:10:03.347 Read COM16: 00-0F-FD-FE-FE-00-88-0F-00-FD (..........)
19:10:03.347 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:03.363 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88 (....!......)
19:10:03.363 Read COM16: 21-01-00-FD (!...)
19:10:03.363 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:03.380 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:03.462 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:03.475 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00 (....%......%...'..)
19:10:03.491 Read COM16: FD (.)
19:10:03.491 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:03.507 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:03.595 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:03.603 Read COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:03.619 Read COM16: FE-FE-00-88-25-00-00-96-04-07-00-FD (....%.......)
19:10:03.619 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:03.635 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:03.729 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:03.731 Read COM16: FE-FE (..)
19:10:03.747 Read COM16: 88-00-0F-FD-FE-FE-00-88-0F-00-FD (...........)
19:10:03.747 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:03.763 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21 (....!......!)
19:10:03.763 Read COM16: 01-00-FD (...)
19:10:03.763 Write COM16: FE-FE-88-00-21-00-FD (....!..)
